"scientific_name","midpoint_cc","releveCode"
"Arenaria stricta",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Arisaema triphyllum",2,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Arisaema triphyllum",4,"SOUTHERN DRY-MESIC OAK FOREST"
"Arisaema triphyllum",3,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Arisaema triphyllum",3,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Arisaema triphyllum",2,"SOUTHERN RICH CONIFER SWAMP"
"Arisaema triphyllum",2,"SOUTHERN SEEPAGE MEADOW/CARR"
"Arisaema triphyllum",3,"SOUTHERN TERRACE FOREST"
"Arisaema triphyllum",3,"SOUTHERN WET ASH SWAMP"
"Arisaema triphyllum",2,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Aristida basiramea",4,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Aristida basiramea",5,"Dry Barrens Prairie Southern"
"Aristida basiramea",4,"Dry Sand Gravel Prairie Southern"
"Aristida basiramea",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Aristida tuberculosa",5,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Aristida tuberculosa",13,"Dry Barrens Prairie Southern"
"Aristida tuberculosa",38,"Dry Sand Gravel Prairie Southern"
"Artemisia campestris",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Artemisia campestris",2,"Dry Barrens Prairie Southern"
"Artemisia campestris",7,"Dry Sand Gravel Prairie Southern"
"Artemisia campestris",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Artemisia campestris",4,"SOUTHERN MESIC PRAIRIE"
"Artemisia dracunculus",1,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Artemisia dracunculus",3,"Dry Sand Gravel Prairie Southern"
"Artemisia dracunculus",15,"SOUTHERN MESIC PRAIRIE"
"Artemisia frigida",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Artemisia frigida",26,"Dry Sand Gravel Prairie Southern"
"Artemisia frigida",15,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Artemisia frigida",3,"SOUTHERN MESIC PRAIRIE"
"Artemisia ludoviciana",5,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Artemisia ludoviciana",2,"Dry Barrens Prairie Southern"
"Artemisia ludoviciana",2,"Dry Sand Gravel Prairie Southern"
"Artemisia ludoviciana",7,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Artemisia ludoviciana",5,"SOUTHERN MESIC PRAIRIE"
"Artemisia serrata",38,"SOUTHERN SEEPAGE MEADOW/CARR"
"Asarum canadense",16,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Asarum canadense",8,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Asarum canadense",9,"SOUTHERN WET ASH SWAMP"
"Asarum canadense",4,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Asarum canadense",1,"Southern Floodplain Forest"
"Asclepias exaltata",3,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Asclepias incarnata",2,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Asclepias incarnata",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Asclepias incarnata",2,"SOUTHERN WET PRAIRIE"
"Asclepias ovalifolia",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Asclepias ovalifolia",2,"Dry Sand Gravel Prairie Southern"
"Asclepias ovalifolia",2,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Asclepias ovalifolia",3,"SOUTHERN MESIC PRAIRIE"
"Asclepias syriaca",6,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Asclepias syriaca",3,"Dry Sand Gravel Prairie Southern"
"Asclepias syriaca",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Asclepias syriaca",2,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Asclepias syriaca",2,"SOUTHERN MESIC PRAIRIE"
"Asclepias tuberosa",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Asclepias tuberosa",1,"Dry Barrens Prairie Southern"
"Asclepias tuberosa",1,"Dry Sand Gravel Prairie Southern"
"Asclepias tuberosa",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Asclepias tuberosa",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Asclepias tuberosa",3,"SOUTHERN MESIC PRAIRIE"
"Asclepias verticillata",9,"Dry Sand Gravel Prairie Southern"
